Date,Value
1900-07-30,-0.0098786828422877
1900-07-31,-0.0057762996674253
1900-08-01,0.0045774647887325
1900-08-02,0.0026288117770767
1900-08-03,0.0013983569306065
1900-08-04,0.0071565718275441
1900-08-06,-0.0022530329289429
1900-08-07,0.0024318221295814
1900-08-08,0.0029457632992549
1900-08-09,-0.002418797512094
1900-08-10,0.0045029442327675
1900-08-11,0.0015517241379311
1900-08-13,0.0070580134274401
1900-08-14,0.0046153846153847
1900-08-15,0.0022120129317678
1900-08-16,-0.00067911714770797
1900-08-17,-0.00033978933061495
1900-08-18,-0.0025492861998641
1900-08-20,0.0018742545578463
1900-08-21,-0.0042517006802721
1900-08-22,0.0017079419299744
1900-08-23,-0.0039215686274509
1900-08-24,-0.0020540910647039
1900-08-25,-0.002229845626072
